nama_site,kota_kabupaten,month,scope_of_work,actual_severity,predicted_severity,confidence_score,confidence_minor,confidence_major,top_factor_1,top_factor_2
njk-07-088,kabupaten nganjuk,1,a5,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
jmr-07-088,kabupaten jember,5,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sda-07-279,kabupaten sidoarjo,10,rns,Major,Major,0.91,0.09,0.91,site_code,scope_of_work
sby/07/240,kota surabaya,12,m9,Minor,Major,0.95,0.05,0.95,site_code,scope_of_work
sby-07-021,kota surabaya,6,rne,Minor,Minor,0.65,0.65,0.35,site_code,scope_of_work
njk-07-031,kabupaten nganjuk,11,gne,Minor,Minor,0.92,0.92,0.08,site_code,scope_of_work
tbn-07-022,kabupaten tuban,6,rol,Major,Major,0.78,0.22,0.78,site_code,scope_of_work
sby/07/587,kota surabaya,12,rns,Minor,Minor,0.64,0.64,0.36,site_code,scope_of_work
mjy-07-049,kota/kab madiun,2,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby/07/371,kota surabaya,7,rns,Minor,Major,0.77,0.23,0.77,site_code,scope_of_work
sby-07-173,kota surabaya,6,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kpn-07-093,kota malang,6,gne,Minor,Minor,0.74,0.74,0.26,site_code,scope_of_work
kdr1/07/005,kota/kab kediri,12,rol,Major,Major,0.99,0.01,0.99,site_code,scope_of_work
sby/07/622,kota surabaya,12,rns,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
mlg-07-218,kota malang,9,rns,Major,Major,0.99,0.01,0.99,site_code,scope_of_work
mgt/07/045,kabupaten magetan,7,gne,Minor,Major,0.9,0.1,0.9,site_code,scope_of_work
smp-07-016,kabupaten sumenep,6,gns,Minor,Minor,0.95,0.95,0.05,site_code,scope_of_work
lmj-07-055,kabupaten lumajang,2,a2,Minor,Major,0.86,0.14,0.86,site_code,scope_of_work
png-07-011,kabupaten ponorogo,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sit-07-082,kabupaten situbondo,2,q2,Minor,Major,0.81,0.19,0.81,site_code,scope_of_work
ngw-07-025,kabupaten ngawi,5,gnp,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
btu-07-019,kota malang,1,a2,Minor,Major,0.91,0.09,0.91,site_code,scope_of_work
kdr1/07/071,kota/kab kediri,12,gne,Minor,Major,0.78,0.22,0.78,site_code,scope_of_work
mgt-07-027,kabupaten magetan,3,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
png-07-001,kabupaten ponorogo,11,gne,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
sby-07-520,kota surabaya,6,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
blt-07-017,kota/kab blitar,10,gne,Minor,Major,0.83,0.17,0.83,site_code,scope_of_work
bjn-07-153,kabupaten bojonegoro,4,gne,Minor,Minor,0.95,0.95,0.05,site_code,scope_of_work
kdr2-07-010,kota/kab kediri,11,pst,Minor,Minor,0.93,0.93,0.07,site_code,scope_of_work
tbn-07-068,kabupaten tuban,5,m9,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
spg-07-031,kabupaten sampang,5,m9,Major,Major,0.95,0.05,0.95,site_code,scope_of_work
sit-07-023,kabupaten situbondo,11,rol,Major,Major,1.0,0.0,1.0,site_code,scope_of_work
sda/07/290,kabupaten sidoarjo,7,rne,Minor,Minor,0.6,0.6,0.4,site_code,scope_of_work
pmk-07-019,kabupaten pamekasan,2,m9,Major,Major,0.78,0.22,0.78,site_code,scope_of_work
sby-07-752,kota surabaya,1,a2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-457,kota surabaya,3,rns,Minor,Major,0.99,0.01,0.99,site_code,scope_of_work
psn/07/016,kota/kab pasuruan,8,gne,Major,Minor,0.82,0.82,0.18,site_code,scope_of_work
sda-07-054,kabupaten sidoarjo,2,a2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kpn-07-230,kabupaten malang,5,gne,Major,Major,0.92,0.08,0.92,site_code,scope_of_work
jbg-07-108,kabupaten jombang,8,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
smp-07-068,kabupaten sumenep,2,a2p,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
lmj-07-040,kabupaten lumajang,11,gne,Minor,Major,0.87,0.13,0.87,site_code,scope_of_work
gsk-07-114,kabupaten gresik,5,gne,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
tbn-07-084,kabupaten tuban,10,gne,Minor,Minor,0.96,0.96,0.04,site_code,scope_of_work
pbl/07/023,kota/kab probolinggo,7,gns,Minor,Minor,0.81,0.81,0.19,site_code,scope_of_work
jbg-07-087,kabupaten jombang,3,gne,Minor,Minor,0.99,0.99,0.01,site_code,scope_of_work
kpn-07-102,kabupaten malang,10,gne,Minor,Major,0.73,0.27,0.73,site_code,scope_of_work
gsk-07-061,kabupaten gresik,3,m9,Minor,Minor,0.6,0.6,0.4,site_code,scope_of_work
kpn-07-250,kabupaten malang,2,q2,Minor,Major,0.98,0.02,0.98,site_code,scope_of_work
mjk/07/056,kota/kab mojokerto,7,m9,Minor,Minor,0.69,0.69,0.31,site_code,scope_of_work
trk-07-078,kabupaten trenggalek,8,gns,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mjk1-07-040,kota/kab mojokerto,6,rns,Minor,Major,0.94,0.06,0.94,site_code,scope_of_work
bjn-07-037,kabupaten bojonegoro,5,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
btu/07/038,kota malang,12,gns,Major,Major,0.72,0.28,0.72,site_code,scope_of_work
tbn-07-100,kabupaten tuban,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
bjn/07/125,kabupaten bojonegoro,12,rns,Major,Major,0.69,0.31,0.69,site_code,scope_of_work
bdw-07-023,kabupaten bondowoso,4,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
byw-07-091,kabupaten banyuwangi,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mlg/07/038,kota malang,12,gne,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
jmr-07-317,kabupaten ngawi,6,gns,Minor,Major,0.55,0.45,0.55,site_code,scope_of_work
gsk-07-092,kabupaten gresik,6,gne,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
sby-07-154,kota surabaya,2,d2,Minor,Minor,0.89,0.89,0.11,site_code,scope_of_work
sda-07-009,kabupaten sidoarjo,11,rts,Minor,Minor,0.78,0.78,0.22,site_code,scope_of_work
byw-07-081,kabupaten banyuwangi,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mlg-07-145,kota malang,11,gns,Minor,Minor,0.89,0.89,0.11,site_code,scope_of_work
bjn-07-040,kabupaten bojonegoro,6,gns,Minor,Minor,0.89,0.89,0.11,site_code,scope_of_work
sit-07-039,kabupaten situbondo,2,a2,Minor,Major,0.96,0.04,0.96,site_code,scope_of_work
lmj-07-093,kabupaten lumajang,11,pst,Minor,Major,0.87,0.13,0.87,site_code,scope_of_work
smp-07-015,kabupaten sumenep,2,b4,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
sby-07-146,kota surabaya,3,vw5,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
jbg-07-061,kabupaten jombang,6,gne,Minor,Minor,0.9115000000000001,0.9115000000000001,0.0885,site_code,scope_of_work
sby-07-634,kota surabaya,10,rns,Minor,Major,1.0,0.0,1.0,site_code,scope_of_work
btu/07/037,kota malang,8,gne,Major,Minor,0.77,0.77,0.23,site_code,scope_of_work
jbg-07-090,kabupaten jombang,10,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
bkl/07/038,kabupaten bangkalan,8,gne,Minor,Major,0.71,0.29,0.71,site_code,scope_of_work
